Package,Built
assertthat,3.5.1
backports,3.5.1
base64enc,3.5.0
bayesAB,3.5.1
BH,3.5.0
bindr,3.5.1
bindrcpp,3.5.1
bitops,3.5.0
broom,3.5.1
callr,3.5.1
cellranger,3.5.1
cli,3.5.1
clipr,3.5.1
clisymbols,3.5.1
colorspace,3.5.1
cowplot,3.5.1
crayon,3.5.1
curl,3.5.1
DBI,3.5.1
dbplyr,3.5.1
desc,3.5.1
devtools,3.5.1
digest,3.5.1
dplyr,3.5.1
easypackages,3.5.1
evaluate,3.5.1
fansi,3.5.1
forcats,3.5.1
foreach,3.5.1
forecast,3.5.1
fracdiff,3.5.1
fs,3.5.2
generics,3.5.1
GGally,3.5.1
ggplot2,3.5.1
gh,3.5.1
git2r,3.5.1
glmnet,3.5.1
glue,3.5.1
gower,3.5.1
gtable,3.5.1
h2o,3.5.1
haven,3.5.1
here,3.5.2
highr,3.5.1
hms,3.5.1
htmltools,3.5.1
htmlwidgets,3.5.1
httpuv,3.5.1
httr,3.5.1
ini,3.5.1
ipred,3.5.1
iterators,3.5.1
jsonlite,3.5.1
knitr,3.5.1
labeling,3.5.0
later,3.5.1
lava,3.5.1
lazyeval,3.5.1
lime,3.5.1
lmtest,3.5.1
lubridate,3.5.1
magrittr,3.5.1
markdown,3.5.1
memoise,3.5.1
mime,3.5.1
modelr,3.5.1
munsell,3.5.1
numDeriv,3.5.0
openssl,3.5.1
padr,3.5.1
pander,3.5.1
PerformanceAnalytics,3.5.1
pillar,3.5.1
pkgbuild,3.5.1
pkgconfig,3.5.1
pkgload,3.5.1
plogr,3.5.1
plyr,3.5.1
prettyunits,3.5.1
processx,3.5.1
prodlim,3.5.1
progress,3.5.1
promises,3.5.1
ps,3.5.1
purrr,3.5.1
quadprog,3.5.0
Quandl,3.5.1
quantmod,3.5.1
R6,3.5.1
rcmdcheck,3.5.1
RColorBrewer,3.5.0
Rcpp,3.5.1
RcppArmadillo,3.5.1
RcppEigen,3.5.1
RcppRoll,3.5.1
RCurl,3.5.1
readr,3.5.1
readxl,3.5.1
recipes,3.5.1
rematch,3.5.1
remotes,3.5.1
reprex,3.5.1
reshape,3.5.1
reshape2,3.5.1
rlang,3.5.1
rmarkdown,3.5.1
rprojroot,3.5.1
rstudioapi,3.5.1
rvest,3.5.1
scales,3.5.1
selectr,3.5.1
sessioninfo,3.5.1
shiny,3.5.1
shinythemes,3.5.1
skimr,3.5.1
sourcetools,3.5.1
SQUAREM,3.5.0
stringi,3.5.1
stringr,3.5.1
tibble,3.5.1
tidyquant,3.5.1
tidyr,3.5.1
tidyselect,3.5.1
tidyverse,3.5.1
timeDate,3.5.1
timetk,3.5.1
tinytex,3.5.1
tseries,3.5.1
TTR,3.5.1
urca,3.5.1
uroot,3.5.0
usethis,3.5.2
ustyc,3.5.1
utf8,3.5.1
viridisLite,3.5.1
whisker,3.5.1
withr,3.5.1
writexl,3.5.1
xfun,3.5.1
XML,3.5.1
xml2,3.5.1
xopen,3.5.1
xtable,3.5.1
xts,3.5.1
yaml,3.5.1
zoo,3.5.1
translations,3.5.1
