Package,LibPath,Version,Priority,Built
assertthat,C:/Users/rlank/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
backports,C:/Users/rlank/Documents/R/win-library/3.5,1.1.3,NA,3.5.1
base64enc,C:/Users/rlank/Documents/R/win-library/3.5,0.1-3,NA,3.5.0
bayesAB,C:/Users/rlank/Documents/R/win-library/3.5,1.1.1,NA,3.5.1
BH,C:/Users/rlank/Documents/R/win-library/3.5,1.66.0-1,NA,3.5.0
bindr,C:/Users/rlank/Documents/R/win-library/3.5,0.1.1,NA,3.5.1
bindrcpp,C:/Users/rlank/Documents/R/win-library/3.5,0.2.2,NA,3.5.1
bitops,C:/Users/rlank/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
broom,C:/Users/rlank/Documents/R/win-library/3.5,0.5.1,NA,3.5.1
callr,C:/Users/rlank/Documents/R/win-library/3.5,3.1.0,NA,3.5.1
cellranger,C:/Users/rlank/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
cli,C:/Users/rlank/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
clipr,C:/Users/rlank/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
clisymbols,C:/Users/rlank/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
colorspace,C:/Users/rlank/Documents/R/win-library/3.5,1.3-2,NA,3.5.1
cowplot,C:/Users/rlank/Documents/R/win-library/3.5,0.9.3,NA,3.5.1
crayon,C:/Users/rlank/Documents/R/win-library/3.5,1.3.4,NA,3.5.1
curl,C:/Users/rlank/Documents/R/win-library/3.5,3.2,NA,3.5.1
DBI,C:/Users/rlank/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
dbplyr,C:/Users/rlank/Documents/R/win-library/3.5,1.2.2,NA,3.5.1
desc,C:/Users/rlank/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
devtools,C:/Users/rlank/Documents/R/win-library/3.5,2.0.1,NA,3.5.1
digest,C:/Users/rlank/Documents/R/win-library/3.5,0.6.18,NA,3.5.1
dplyr,C:/Users/rlank/Documents/R/win-library/3.5,0.7.8,NA,3.5.1
easypackages,C:/Users/rlank/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
evaluate,C:/Users/rlank/Documents/R/win-library/3.5,0.12,NA,3.5.1
fansi,C:/Users/rlank/Documents/R/win-library/3.5,0.4.0,NA,3.5.1
forcats,C:/Users/rlank/Documents/R/win-library/3.5,0.3.0,NA,3.5.1
foreach,C:/Users/rlank/Documents/R/win-library/3.5,1.4.4,NA,3.5.1
forecast,C:/Users/rlank/Documents/R/win-library/3.5,8.4,NA,3.5.1
fracdiff,C:/Users/rlank/Documents/R/win-library/3.5,1.4-2,NA,3.5.1
fs,C:/Users/rlank/Documents/R/win-library/3.5,1.2.6,NA,3.5.2
generics,C:/Users/rlank/Documents/R/win-library/3.5,0.0.2,NA,3.5.1
GGally,C:/Users/rlank/Documents/R/win-library/3.5,1.4.0,NA,3.5.1
ggplot2,C:/Users/rlank/Documents/R/win-library/3.5,3.1.0,NA,3.5.1
gh,C:/Users/rlank/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
git2r,C:/Users/rlank/Documents/R/win-library/3.5,0.23.0,NA,3.5.1
glmnet,C:/Users/rlank/Documents/R/win-library/3.5,2.0-16,NA,3.5.1
glue,C:/Users/rlank/Documents/R/win-library/3.5,1.3.0,NA,3.5.1
gower,C:/Users/rlank/Documents/R/win-library/3.5,0.1.2,NA,3.5.1
gtable,C:/Users/rlank/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
h2o,C:/Users/rlank/Documents/R/win-library/3.5,3.20.0.8,NA,3.5.1
haven,C:/Users/rlank/Documents/R/win-library/3.5,2.0.0,NA,3.5.1
here,C:/Users/rlank/Documents/R/win-library/3.5,0.1,NA,3.5.2
highr,C:/Users/rlank/Documents/R/win-library/3.5,0.7,NA,3.5.1
hms,C:/Users/rlank/Documents/R/win-library/3.5,0.4.2,NA,3.5.1
htmltools,C:/Users/rlank/Documents/R/win-library/3.5,0.3.6,NA,3.5.1
htmlwidgets,C:/Users/rlank/Documents/R/win-library/3.5,1.3,NA,3.5.1
httpuv,C:/Users/rlank/Documents/R/win-library/3.5,1.4.5,NA,3.5.1
httr,C:/Users/rlank/Documents/R/win-library/3.5,1.4.0,NA,3.5.1
ini,C:/Users/rlank/Documents/R/win-library/3.5,0.3.1,NA,3.5.1
ipred,C:/Users/rlank/Documents/R/win-library/3.5,0.9-8,NA,3.5.1
iterators,C:/Users/rlank/Documents/R/win-library/3.5,1.0.10,NA,3.5.1
jsonlite,C:/Users/rlank/Documents/R/win-library/3.5,1.5,NA,3.5.1
knitr,C:/Users/rlank/Documents/R/win-library/3.5,1.21,NA,3.5.1
labeling,C:/Users/rlank/Documents/R/win-library/3.5,0.3,NA,3.5.0
later,C:/Users/rlank/Documents/R/win-library/3.5,0.7.5,NA,3.5.1
lava,C:/Users/rlank/Documents/R/win-library/3.5,1.6.4,NA,3.5.1
lazyeval,C:/Users/rlank/Documents/R/win-library/3.5,0.2.1,NA,3.5.1
lime,C:/Users/rlank/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
lmtest,C:/Users/rlank/Documents/R/win-library/3.5,0.9-36,NA,3.5.1
lubridate,C:/Users/rlank/Documents/R/win-library/3.5,1.7.4,NA,3.5.1
magrittr,C:/Users/rlank/Documents/R/win-library/3.5,1.5,NA,3.5.1
markdown,C:/Users/rlank/Documents/R/win-library/3.5,0.9,NA,3.5.1
memoise,C:/Users/rlank/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
mime,C:/Users/rlank/Documents/R/win-library/3.5,0.6,NA,3.5.1
modelr,C:/Users/rlank/Documents/R/win-library/3.5,0.1.2,NA,3.5.1
munsell,C:/Users/rlank/Documents/R/win-library/3.5,0.5.0,NA,3.5.1
numDeriv,C:/Users/rlank/Documents/R/win-library/3.5,2016.8-1,NA,3.5.0
openssl,C:/Users/rlank/Documents/R/win-library/3.5,1.1,NA,3.5.1
padr,C:/Users/rlank/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
